,Byte_count,Request_count,Day,Hour,Minute
1,9988182.0,4214, 29/May/1998,22,0
2,23300852.0,4857, 29/May/1998,22,1
3,15381391.0,4779, 29/May/1998,22,2
4,14931937.0,4820, 29/May/1998,22,3
5,20252079.0,5145, 29/May/1998,22,4
6,15467876.0,4797, 29/May/1998,22,5
7,14935199.0,4440, 29/May/1998,22,6
8,16534070.0,4628, 29/May/1998,22,7
9,14416861.0,4977, 29/May/1998,22,8
10,14861231.0,4908, 29/May/1998,22,9
11,16783171.0,4889, 29/May/1998,22,10
12,21995714.0,5283, 29/May/1998,22,11
13,21653436.0,5002, 29/May/1998,22,12
14,20938455.0,4844, 29/May/1998,22,13
15,19895586.0,4870, 29/May/1998,22,14
16,15482820.0,5123, 29/May/1998,22,15
17,23160487.0,4857, 29/May/1998,22,16
18,18569634.0,4285, 29/May/1998,22,17
19,23765695.0,4626, 29/May/1998,22,18
20,13933547.0,4330, 29/May/1998,22,19
21,23360135.0,4367, 29/May/1998,22,20
22,15911548.0,4463, 29/May/1998,22,21
23,19182787.0,4334, 29/May/1998,22,22
24,15637200.0,4416, 29/May/1998,22,23
25,21502866.0,4413, 29/May/1998,22,24
26,15619463.0,4318, 29/May/1998,22,25
27,23585932.0,4135, 29/May/1998,22,26
28,19552763.0,4399, 29/May/1998,22,27
29,14769537.0,4107, 29/May/1998,22,28
30,14156979.0,4174, 29/May/1998,22,29
31,13708030.0,4579, 29/May/1998,22,30
32,21550396.0,3946, 29/May/1998,22,31
33,12532442.0,4721, 29/May/1998,22,32
34,19735350.0,4588, 29/May/1998,22,33
35,15057630.0,4532, 29/May/1998,22,34
36,16663778.0,4294, 29/May/1998,22,35
37,21278397.0,4597, 29/May/1998,22,36
38,13372138.0,4244, 29/May/1998,22,37
39,13878309.0,4194, 29/May/1998,22,38
40,17735427.0,4380, 29/May/1998,22,39
41,14840720.0,4155, 29/May/1998,22,40
42,15458664.0,4175, 29/May/1998,22,41
43,14195942.0,4507, 29/May/1998,22,42
44,13566258.0,3958, 29/May/1998,22,43
45,16948890.0,4676, 29/May/1998,22,44
46,21460899.0,4525, 29/May/1998,22,45
47,19294199.0,3620, 29/May/1998,22,46
48,25549251.0,4629, 29/May/1998,22,47
49,24491091.0,4080, 29/May/1998,22,48
50,35916944.0,4690, 29/May/1998,22,49
51,27593467.0,4509, 29/May/1998,22,50
52,54163924.0,4583, 29/May/1998,22,51
53,36906905.0,4371, 29/May/1998,22,52
54,29676765.0,4148, 29/May/1998,22,53
55,21925426.0,4367, 29/May/1998,22,54
56,17547263.0,4308, 29/May/1998,22,55
57,21644810.0,4094, 29/May/1998,22,56
58,17298965.0,4068, 29/May/1998,22,57
59,15381133.0,4311, 29/May/1998,22,58
60,11121574.0,3964, 29/May/1998,22,59
61,9707122.0,4214, 29/May/1998,23,0
62,11172580.0,4857, 29/May/1998,23,1
63,10531078.0,4779, 29/May/1998,23,2
64,19028707.0,4820, 29/May/1998,23,3
65,19799104.0,5145, 29/May/1998,23,4
66,12143182.0,4797, 29/May/1998,23,5
67,13274310.0,4440, 29/May/1998,23,6
68,16754441.0,4628, 29/May/1998,23,7
69,20504470.0,4977, 29/May/1998,23,8
70,15686048.0,4908, 29/May/1998,23,9
71,22632585.0,4889, 29/May/1998,23,10
72,20640087.0,5283, 29/May/1998,23,11
73,22644692.0,5002, 29/May/1998,23,12
74,18600283.0,4844, 29/May/1998,23,13
75,15465873.0,4870, 29/May/1998,23,14
76,24408151.0,5123, 29/May/1998,23,15
77,16291531.0,4857, 29/May/1998,23,16
78,25385751.0,4285, 29/May/1998,23,17
79,23174988.0,4626, 29/May/1998,23,18
80,15246996.0,4330, 29/May/1998,23,19
81,17463280.0,4367, 29/May/1998,23,20
82,20377838.0,4463, 29/May/1998,23,21
83,12580873.0,4334, 29/May/1998,23,22
84,15323452.0,4416, 29/May/1998,23,23
85,13099373.0,4413, 29/May/1998,23,24
86,13057096.0,4318, 29/May/1998,23,25
87,18015733.0,4135, 29/May/1998,23,26
88,14509812.0,4399, 29/May/1998,23,27
89,15029787.0,4107, 29/May/1998,23,28
90,15485867.0,4174, 29/May/1998,23,29
91,19487761.0,4579, 29/May/1998,23,30
92,20111508.0,3946, 29/May/1998,23,31
93,21905026.0,4721, 29/May/1998,23,32
94,23423034.0,4588, 29/May/1998,23,33
95,18378199.0,4532, 29/May/1998,23,34
96,20054157.0,4294, 29/May/1998,23,35
97,17847890.0,4597, 29/May/1998,23,36
98,26719603.0,4244, 29/May/1998,23,37
99,25333718.0,4194, 29/May/1998,23,38
100,21080783.0,4380, 29/May/1998,23,39
101,13032788.0,4155, 29/May/1998,23,40
102,11152928.0,4175, 29/May/1998,23,41
103,23789692.0,4507, 29/May/1998,23,42
104,14911828.0,3958, 29/May/1998,23,43
105,18235754.0,4676, 29/May/1998,23,44
106,14111411.0,4525, 29/May/1998,23,45
107,17223332.0,3620, 29/May/1998,23,46
108,19651973.0,4629, 29/May/1998,23,47
109,18076256.0,4080, 29/May/1998,23,48
110,21034223.0,4690, 29/May/1998,23,49
111,13766106.0,4509, 29/May/1998,23,50
112,15662710.0,4583, 29/May/1998,23,51
113,13927588.0,4371, 29/May/1998,23,52
